id,geometry,소방용수_수
1,"MULTIPOLYGON (((126.77008614827882 37.550109157739044, 126.76992220745231 37.55017500527105, 126.76990019670791 37.55025915028872, 126.76986629541202 37.55035706590092, 126.76985043828094 37.55045304493742, 126.76980703064004 37.55053967845298, 126.76984064273009 37.55064899003714, 126.76986636410858 37.55067888935286, 126.7699289277702 37.55074573958556, 126.76993652165494 37.55074998131407, 126.77004137798738 37.55086393691378, 126.77010130547677 37.55092374389231, 126.77018729920577 37.551007860434574, 126.77019671561708 37.55004216903197, 126.77008614827882 37.550109157739044)), ((126.77015960820668 37.551169378328545, 126.77002934026403 37.5511519490659, 126.76997251599107 37.551116636159485, 126.76989467804674 37.55106975049591, 126.76978912770984 37.55106672338627, 126.76971682753944 37.5511175498284, 126.7695231434804 37.551252596835255, 126.76938908878986 37.55131736648885, 126.76934739217727 37.55136346111888, 126.76937832689134 37.55148206506962, 126.76938284511091 37.55150628297624, 126.76932058275378 37.551572049109566, 126.76918477157159 37.551571783452346, 126.7691345746049 37.55156661120418, 126.76904618010145 37.55155968024508, 126.76891754958363 37.55153239708755, 126.76885803666532 37.55150694465804, 126.76876950497386 37.55148902921502, 126.76855927947351 37.55159729232203, 126.76821759979929 37.55161435720999, 126.76815653350012 37.551636201930265, 126.76813005151162 37.55156435091, 126.7680791046498 37.551571287517575, 126.76810751389029 37.551649341154395, 126.76807171851814 37.55172922483326, 126.7680490625753 37.551794790196766, 126.76766335983493 37.55186610654109, 126.76755048974222 37.5518872797322, 126.76753045694012 37.55190271984865, 126.76746505374341 37.55195073963714, 126.76752011199602 37.55210233121704, 126.76760406275595 37.55234013360026, 126.76768012999602 37.55255482815395, 126.76763978969069 37.55256488414769, 126.7676243486336 37.55263833743017, 126.76765625110995 37.552729347029334, 126.76771392486918 37.55283307436788, 126.76764219120179 37.55286784626493, 126.7675784642194 37.55289391240463, 126.7675405727184 37.552909604272315, 126.76748342977233 37.55297255972647, 126.7674559839518 37.55304176353445, 126.76743276537493 37.55306407899963, 126.77016708247288 37.553081012648015, 126.77018592083665 37.551149213930785, 126.77015960820668 37.551169378328545)))",
2,"POLYGON ((126.76739692452095 37.55309852574919, 126.76739035766578 37.55310667649645, 126.76737012367352 37.55313197263216, 126.76747087747863 37.55331321719475, 126.76758517450584 37.55340466755668, 126.76762380563152 37.55343515245295, 126.76762555642519 37.55349822626168, 126.7676252740632 37.55353032702323, 126.76756396208768 37.55357243573052, 126.76740672838707 37.55358198043575, 126.76735013189898 37.553585806416635, 126.76728829173342 37.553627074948324, 126.76728758292185 37.553683943388634, 126.76729481908552 37.55368958920787, 126.76751796526803 37.55385981262899, 126.76754884616754 37.55388268732645, 126.76764145480183 37.55395466257441, 126.7676390894434 37.55408896693129, 126.76760556706412 37.55412155356878, 126.76755234840121 37.554174668933115, 126.76748190114512 37.55419901871235, 126.76745799171451 37.55420910781044, 126.76740685452621 37.55422251966133, 126.76723246962483 37.554175440807995, 126.7672146171374 37.55417343149608, 126.76702429369753 37.55407789059832, 126.76694567432483 37.554056057302596, 126.76688833829131 37.554068044104675, 126.76684291384629 37.55406344844464, 126.76672726268711 37.55406491316672, 126.7666666045495 37.55401044506952, 126.76663298897927 37.55395773315307, 126.76653036297355 37.55381055045839, 126.76642814292667 37.5537585394973, 126.76636535149346 37.55376348674716, 126.76634990697627 37.55395379154323, 126.7663350218743 37.55401936191981, 126.76632451637063 37.554042145345946, 126.7662404568824 37.5541740258678, 126.76620435745127 37.55424237568912, 126.76627928391682 37.55431151453727, 126.76637394668285 37.55457580004233, 126.76640026212999 37.55464370647409, 126.76640233944305 37.55465609849088, 126.76639660528296 37.554791523393085, 126.7663365897548 37.55487079993493, 126.76632543299328 37.554877534110304, 126.76623720897693 37.55492691268247, 126.76616918194784 37.5549661957877, 126.76604868159129 37.554993551999004, 126.76595442928138 37.55499449101983, 126.76563207120691 37.55499074688565, 126.76539318998451 37.55498689193878, 126.76505906342462 37.555015505046725, 126.76478408457302 37.55507464442061, 126.76459277878746 37.55517815441323, 126.76449486146866 37.55527509251402, 126.76448395976817 37.555369395072184, 126.7645592208834 37.55544387832909, 126.76470846535705 37.55549936408895, 126.76505133273365 37.555617737184605, 126.76537861748466 37.55579296821338, 126.76589355346181 37.556076961492394, 126.76597670782844 37.55611822964659, 126.76598394964279 37.556121622232354, 126.7660090147081 37.556133782525364, 126.76604682550752 37.55614427262276, 126.76623180668496 37.55619532228235, 126.76637267149157 37.55621756870467, 126.76662701313002 37.55625834091383, 126.76672461538739 37.556315684618596, 126.76674739995632 37.55638330386335, 126.76674862106839 37.55638696378412, 126.76675179561688 37.55650409978999, 126.76666330301622 37.55658445226319, 126.76651997547862 37.55666835676254, 126.76641757214816 37.55673093308131, 126.7664016298433 37.55674075788356, 126.76627537568604 37.55685087750389, 126.7662843568908 37.55691706432064, 126.76643511650138 37.5569426999207, 126.76659489319277 37.556969211041114, 126.76659648670864 37.55696949325599, 126.76661910796224 37.556974322562844, 126.76670485746537 37.55692099985875, 126.76682977118071 37.55684381895304, 126.76690684692286 37.55679582199233, 126.76700392177315 37.55674364930126, 126.76714135489019 37.556672681976025, 126.76718634631976 37.55664996620722, 126.76723909651915 37.55663177336229, 126.76729200446673 37.5566214621363, 126.7673503730217 37.556619325649386, 126.76750180026463 37.55665537585883, 126.76750024364738 37.55664299479692, 126.7675000826629 37.55664073329913, 126.76754902276924 37.556654064638046, 126.76773613932049 37.55670258522651, 126.7678386656072 37.556712923229355, 126.76798700416215 37.55672335374639, 126.76801865407747 37.55672510960362, 126.76813148496288 37.55671885429332, 126.76818702664951 37.55671614478466, 126.76827258770713 37.556723359219355, 126.76833514651221 37.55673502466158, 126.7684590266752 37.55676060442745, 126.76873561038886 37.55681661438359, 126.76881720817629 37.556904062870366, 126.76887116571393 37.556952317510245, 126.7689395489699 37.55702819013685, 126.76899485923236 37.5570964416505, 126.76905068897027 37.557114849848546, 126.76909786325426 37.55712479894576, 126.76914859219994 37.55713446745512, 126.76924741797735 37.55714057335788, 126.76944049631075 37.55715108806198, 126.76953331232265 37.55715831621977, 126.76970490642753 37.55719525086561, 126.76986730374794 37.557230484588864, 126.76994722334096 37.55723599216847, 126.76996100442321 37.557237146292984, 126.76998439873911 37.55722198237894, 126.7700636566504 37.55721059668607, 126.77012677673936 37.557213582571485, 126.77016708247288 37.553081012648015, 126.76743276537493 37.55306407899963, 126.76739692452095 37.55309852574919))",1.0
3,"POLYGON ((126.77236664580172 37.5485850225695, 126.77226185267533 37.54850965031224, 126.77221911086487 37.54849125883657, 126.77218855912271 37.54847937850972, 126.77212941026443 37.548453639495115, 126.77195707206249 37.548377567244565, 126.77181823977418 37.548331400945564, 126.77169082657402 37.548307221728344, 126.77155181975527 37.54831792639421, 126.77149440735467 37.54835667408758, 126.77137656579833 37.54858178296563, 126.77237003863708 37.54858790943556, 126.77236664580172 37.5485850225695))",1.0
4,"POLYGON ((126.77586548719464 37.54869734595315, 126.77575617542448 37.54876753173756, 126.77561025841068 37.54884016980341, 126.77554634094251 37.54886792473224, 126.77529336022552 37.54897162180885, 126.77489641235734 37.5489700138179, 126.77483504984373 37.548972148330535, 126.77447976236881 37.54893570556462, 126.77422379477999 37.548915509298624, 126.774069083257 37.548913516256945, 126.77392696446059 37.54890226081662, 126.7735758904535 37.54887202090427, 126.77339384118751 37.54885196510976, 126.77296378966192 37.548803831080924, 126.77258042619957 37.548753246210715, 126.77254638381605 37.54872840310767, 126.77251390433064 37.548710320324595, 126.77237003863708 37.54858790943556, 126.77137656579833 37.54858178296563, 126.77135158496009 37.54862950285205, 126.77124235099363 37.548618037815814, 126.77123272332527 37.54864222831952, 126.77119115097035 37.54865284182798, 126.77105312015881 37.548688053815184, 126.77099283165093 37.54874565256473, 126.77099065163164 37.54876254253551, 126.77102543331809 37.548892974099076, 126.77100662590925 37.549028644909356, 126.77092673849826 37.5491332278715, 126.77088004186515 37.549256743965074, 126.77085972000854 37.549307106505154, 126.77084349431917 37.54935042896126, 126.7707022906868 37.54950078936232, 126.77063611875893 37.54957189313466, 126.7704841833226 37.549646216171254, 126.77040127999938 37.54975276666207, 126.77032748948403 37.5498286379543, 126.77026771961692 37.5499991501858, 126.77019671561708 37.55004216903197, 126.77018729920577 37.551007860434574, 126.77026772140701 37.55108652684532, 126.77018592083665 37.551149213930785, 126.77016708247288 37.553081012648015, 126.77582738022069 37.55311586568322, 126.77587016148283 37.54869425739812, 126.77586548719464 37.54869734595315))",1.0
5,"POLYGON ((126.77034938192261 37.55722411260192, 126.77042172260748 37.557220586588635, 126.77066260048203 37.557210363053926, 126.7706990240709 37.55720930954311, 126.77097955991783 37.557184512478, 126.77119218185057 37.55716550159176, 126.77137625900028 37.557110954871774, 126.77150174309251 37.557075448453, 126.77160862378791 37.557050591044806, 126.77195440630705 37.55697270632592, 126.77199403966057 37.556965467799934, 126.77211481997239 37.556965134778444, 126.77224476191095 37.55697411630679, 126.77238107313205 37.55698451778119, 126.77243103157275 37.55701277080197, 126.77247303836577 37.557040168856965, 126.77254464594586 37.557098304813415, 126.77264572428166 37.557179031436085, 126.77267837312073 37.55720217919737, 126.77271136220705 37.557228146280316, 126.77277876171954 37.55727867753028, 126.77292352533757 37.55735609986982, 126.77309267149653 37.5574428676402, 126.77317578525367 37.55749934168434, 126.77317026343307 37.55751397095445, 126.77318418895156 37.55752751350283, 126.7731062803577 37.55760584137079, 126.77578376861119 37.55762229573277, 126.77582738022069 37.55311586568322, 126.77016708247288 37.553081012648015, 126.77012677673936 37.557213582571485, 126.77034938192261 37.55722411260192))",1.0
6,"POLYGON ((126.77305700807409 37.55765537870604, 126.77300823273364 37.55770201853221, 126.77293573218995 37.55776185682687, 126.77288962211817 37.55780287084503, 126.77283754563169 37.55783036707198, 126.77277247259035 37.55788823752117, 126.77273438017343 37.557913500474186, 126.7726813823417 37.55795394110163, 126.77248235102428 37.55809828127887, 126.77227072009019 37.558257516437855, 126.77217961444723 37.558323787266254, 126.77212909068326 37.55836479302585, 126.7720830089748 37.55840046344869, 126.77204808476755 37.55842910867612, 126.77195733608207 37.55849707429121, 126.77182191078506 37.55859986611239, 126.77177141282112 37.55863186233735, 126.77181769491702 37.55864912382447, 126.77191302738275 37.55864424564683, 126.77195212018636 37.55864009720822, 126.77209311029699 37.5586234772607, 126.77213202575268 37.558622426571375, 126.7722032675354 37.55862678986508, 126.77227940878207 37.55865396764734, 126.77237762633527 37.558686540166086, 126.77244613339924 37.55872270398427, 126.77246353726197 37.55875399225356, 126.77254428269033 37.55889295511903, 126.7725463694137 37.55890591647002, 126.7725708951171 37.55898001543637, 126.77253208149952 37.55900781714058, 126.77263548794053 37.559197783814376, 126.77265746157458 37.55924005501589, 126.77266535515389 37.5592600630398, 126.77274236108036 37.559408596502564, 126.77289436282815 37.55937820207724, 126.77297152904094 37.55935526086078, 126.77319226571137 37.55928642896946, 126.77324423239224 37.55941041448984, 126.77328303089249 37.55950284029098, 126.77333112625028 37.559564030606296, 126.7733599159739 37.559572248004635, 126.7733988339822 37.55962976192894, 126.77341960564269 37.55965823704421, 126.77349727229918 37.55976454088049, 126.7735029431667 37.559816916578015, 126.77358153952827 37.5599674265533, 126.77360122684287 37.56000660276197, 126.77359839164703 37.56000800356188, 126.77359098629688 37.56005725435927, 126.77362389863339 37.56005000254966, 126.77378623487003 37.55999738245792, 126.77383339024803 37.55995862293326, 126.77388017596355 37.559925762947934, 126.77397624189517 37.55985499648225, 126.77401469863267 37.5598260764414, 126.77412423555931 37.55974293821542, 126.77418699130733 37.559695477275596, 126.77428901854638 37.55975593204102, 126.77429093067006 37.55976747734402, 126.7742718527611 37.55981812144337, 126.7742606333804 37.55984512894845, 126.77425008549027 37.559882274589626, 126.77424252339321 37.55992365040628, 126.77424398064797 37.55996954985137, 126.77425024932917 37.560059093457035, 126.77424402296155 37.560070911108944, 126.7742106738473 37.560107165094735, 126.77416524424757 37.56015916388945, 126.77425146280882 37.56024097834929, 126.77436079826158 37.56034424260162, 126.7743935796795 37.560380066874856, 126.77440835626999 37.56040797078944, 126.77444840403444 37.5604361945006, 126.77455036030148 37.560408803839074, 126.77468428159733 37.5604473531745, 126.77474563765499 37.56045084881106, 126.7748085813953 37.56045687983099, 126.77480713159622 37.56046813930956, 126.77478232979034 37.56054073936222, 126.77475300412293 37.56058911069729, 126.77469304338315 37.560648684884825, 126.7746676329692 37.56069030755781, 126.77466316560033 37.56070381284425, 126.77468679823858 37.560726383675444, 126.77479608530422 37.56078543795062, 126.7748853886392 37.5608444530087, 126.7749331463981 37.56090198110577, 126.77494120213967 37.56098506001922, 126.77494722476808 37.56104025723558, 126.77487819742744 37.561118680614804, 126.7748427386859 37.56120758553644, 126.77477095185608 37.561258966046495, 126.77467934015623 37.56131932832364, 126.77472753470241 37.56134842388852, 126.77494401225113 37.561342081408355, 126.77504092656477 37.56134367340276, 126.77510908108442 37.56137759116684, 126.77515174635687 37.561361057552425, 126.77517529028847 37.56135266128092, 126.77524700255464 37.56138208091217, 126.77541526580644 37.56141309050733, 126.77545941472965 37.561433167913705, 126.77547455422798 37.56145712781275, 126.77549033683911 37.561500242350434, 126.77549549724215 37.56154868135714, 126.77552320987654 37.56168528670261, 126.77553479816575 37.56182834078111, 126.7756355701432 37.56189751344113, 126.77572956067091 37.56193007484663, 126.77574202321458 37.56193494489302, 126.77578376861119 37.55762229573277, 126.7731062803577 37.55760584137079, 126.77305700807409 37.55765537870604))",1.0
7,"POLYGON ((126.77557014962314 37.5653504214338, 126.77551744693156 37.56534722137411, 126.77534290049692 37.56534350890022, 126.77542963306124 37.56543799847964, 126.77553194879604 37.56552266197544, 126.77557376185148 37.56555597055439, 126.77557542817709 37.56559200349052, 126.77543798865211 37.56577447976334, 126.77522288729864 37.56584895615872, 126.77513206254872 37.56587948048548, 126.77510254637906 37.56616632507922, 126.7750935751313 37.56620967108185, 126.77509321105772 37.566210797168964, 126.77508818660682 37.56623640251238, 126.77506434747697 37.566398254875956, 126.77504646605882 37.56652042091731, 126.77502927381867 37.566631049703844, 126.7756965162453 37.56663514535712, 126.7757089575351 37.56535025197636, 126.77557014962314 37.5653504214338))",1.0
8,"POLYGON ((126.77502446320992 37.56666200499106, 126.77502066772215 37.56668958570198, 126.77501399432722 37.56673321812135, 126.77500006952955 37.56683455125766, 126.77498921918801 37.56691167321881, 126.77494088941597 37.566985632235195, 126.77488063466596 37.56708406711383, 126.77483976368464 37.56715071497282, 126.77475244108605 37.567309626855526, 126.77476167330707 37.567532079723236, 126.7747630076674 37.567614288217094, 126.77476510944209 37.56768271289544, 126.77475890111107 37.567688619490816, 126.77477443255798 37.56769934567143, 126.77476219052701 37.56770833060255, 126.77489171797518 37.56780458860733, 126.77494201680068 37.567842697719165, 126.77515581897013 37.568024152194916, 126.77523573359187 37.56809103342029, 126.77538216152405 37.568212946110165, 126.7754027124096 37.5681997502363, 126.77546401256589 37.56822351812256, 126.77553057958391 37.56826109087336, 126.77553233172424 37.56803388302813, 126.7755340615447 37.56792942672374, 126.77554238042188 37.56786580595243, 126.77555956968082 37.56773998878327, 126.77554236382348 37.56769490653693, 126.77551131880311 37.56761150622566, 126.77550537184884 37.56759093382025, 126.77548832200009 37.56755458258076, 126.77540166366208 37.56731847557089, 126.77549165237467 37.56727247178272, 126.77561740051883 37.567210769807566, 126.77569096419401 37.56720851558914, 126.7756965162453 37.56663514535712, 126.77502927381867 37.566631049703844, 126.77502446320992 37.56666200499106))",1.0
9,"POLYGON ((126.78147738703818 37.546185725559184, 126.7814720872362 37.54618684199039, 126.78143934779861 37.546195511483404, 126.78143651649567 37.546196072995336, 126.7812565869796 37.54623346147487, 126.78120475493074 37.54624350059678, 126.78107596823862 37.54626691256775, 126.78081149313643 37.546317377753326, 126.78068250699833 37.54634670753113, 126.78048594044074 37.54639279398715, 126.78023903756727 37.546420209783776, 126.78004323393053 37.54644489880154, 126.7799998893611 37.54645044833036, 126.7799466483811 37.54645795263738, 126.77979665451323 37.54647794352383, 126.77955186490348 37.54650619817336, 126.77939693425692 37.54652279985513, 126.77921508845942 37.546549487698485, 126.77921083700821 37.546552012171134, 126.77919277968574 37.546562961851535, 126.77906126874876 37.546607762937, 126.77889472820851 37.54666235525249, 126.77874712153944 37.5467130371016, 126.7786693214416 37.54671345801201, 126.77848896308842 37.5467159291815, 126.77846845318116 37.54671730517031, 126.77833318076038 37.5467181750922, 126.77829111232016 37.54671724900261, 126.7782645928811 37.546714945231095, 126.77808926490445 37.54669180145181, 126.77790633473279 37.54666865053119, 126.77783387118757 37.54665950422402, 126.77767642363999 37.54668933439742, 126.77756301638335 37.54671192393491, 126.77751575799108 37.54678841819641, 126.77745108435953 37.54689218882863, 126.77742896160915 37.54696028831942, 126.77741291072792 37.54700727998228, 126.7773815259771 37.54709619434521, 126.77734779276386 37.54719804999899, 126.7773284355318 37.54722701605119, 126.77731706832682 37.547243888428895, 126.77728831053523 37.547282972780174, 126.7772380766209 37.54734819845202, 126.77710545886588 37.54752701824493, 126.77701989391771 37.54764145326023, 126.77696982277018 37.54771231098763, 126.77693170407807 37.54780542772058, 126.77684724542908 37.54802234956838, 126.77681251072426 37.548107310330394, 126.77674360942822 37.548204324851795, 126.77653466532401 37.54830726119974, 126.77633475019556 37.548402888959764, 126.77618456099239 37.54848566474835, 126.776051159505 37.548574661872685, 126.7759973647299 37.54861020716167, 126.78153094884688 37.548644008266486, 126.7815547166308 37.54616773149645, 126.78147738703818 37.546185725559184))",1.0
10,"POLYGON ((126.77587016148283 37.54869425739812, 126.77582738022069 37.55311586568322, 126.78148768768109 37.55315044740076, 126.78153094884688 37.548644008266486, 126.7759973647299 37.54861020716167, 126.77587016148283 37.54869425739812))",1.0
