시군명,관서명,정원(명),관할인구(명),1인당담당인구(명)
수원시,수원소방서,299,636761,2130
수원시,수원남부소방서,328,560480,1709
성남시,성남소방서,325,445014,1369
성남시,분당소방서,291,473757,1628
부천시,부천소방서,459,781119,1702
안양시,안양소방서,295,543597,1843
안산시,안산소방서,438,630651,1440
용인시,용인소방서,593,1075474,1814
평택시,평택소방서,299,354985,1187
평택시,송탄소방서,287,235200,820
광명시,광명소방서,215,280287,1304
시흥시,시흥소방서,312,519594,1665
군포시,군포소방서,199,261898,1316
화성시,화성소방서,544,941489,1731
이천시,이천소방서,284,222652,784
김포시,김포소방서,377,486126,1289
광주시,광주소방서,335,391432,1168
안성시,안성소방서,276,189143,685
하남시,하남소방서,219,329822,1506
의왕시,의왕소방서,188,159050,846
오산시,오산소방서,204,229792,1126
여주시,여주소방서,264,114343,433
양평군,양평소방서,284,125121,441
과천시,과천소방서,148,81008,547
고양시,고양소방서,292,496631,1701
고양시,일산소방서,350,578458,1653
의정부시,의정부소방서,288,464644,1613
남양주시,남양주소방서,438,732086,1671
파주시,파주소방서,395,497775,1260
구리시,구리소방서,190,187284,986
포천시,포천소방서,382,143510,376
양주시,양주소방서,304,266446,876
동두천시,동두천소방서,165,88787,538
가평군,가평소방서,219,62131,284
연천군,연천소방서,241,41588,173

