,비상소화장치 설치개수,서울시 주택 비율,인구밀도(명/km^2),재산피해,노후 주택 수 ,소방관 1명당 담당인구,화재발생건수,안전센터 1개소당 담당인구,위험물 저장소 개수,위험물 제작소 개수
강남구,65,65.98376415,13932,2767956,24073,1454,437,88184,172,59
강동구,87,63.81374589,18841,681957,20483,1534,194,76678,23,42
강북구,106,63.80524825,12414,502071,39806,1219,155,73415,16,26
강서구,52,57.85033929,13723,523453,40600,1795,223,94861,161,77
관악구,169,55.97635963,16838,469973,43306,1776,305,121688,45,33
광진구,64,53.87402143,20582,354718,27190,1520,145,112472,24,28
구로구,71,50.04858183,20656,720757,29845,1292,222,65886,38,54
금천구,29,48.38295555,18517,630581,17727,1228,214,114821,44,36
노원구,48,45.23651287,14191,463000,15808,1819,169,100747,32,25
도봉구,54,44.83231316,14987,248534,25269,1332,159,77924,16,29
동대문구,93,41.49872775,25315,250661,22207,1242,173,67329,23,48
동작구,189,41.30446978,23826,365656,30201,1613,187,95149,37,25
마포구,110,41.00364403,15727,1003983,28073,1161,250,60773,73,45
서대문구,140,39.86262478,18190,748336,29297,1261,223,76584,37,29
서초구,78,38.65808022,8774,320440,19445,1271,216,67388,97,72
성동구,77,37.8175043,16930,531714,15935,1232,215,70250,78,37
성북구,217,37.16294404,17828,405784,36091,1735,158,107599,36,47
송파구,34,36.88642893,19483,894415,32395,2040,350,109800,66,67
양천구,52,35.69677098,25236,459875,30637,1586,159,88176,47,45
영등포구,87,35.46449303,16203,1681193,18779,1314,249,75135,125,77
용산구,135,30.13804952,10386,294133,24462,868,207,43730,68,32
은평구,83,29.40893029,15849,273087,48925,1823,217,116687,15,37
종로구,268,26.27217874,6292,423169,24094,474,191,23563,84,24
중구,224,24.92285651,13232,1152796,11550,435,190,24087,24,32
중랑구,96,13.48335087,20948,371672,26933,1579,188,96330,128,40
