,자치구,동,단독주택,공동주택,기타주택,학교,일반업무,판매시설,숙박시설,종교시설,의료시설,공장 및 창고,작업장,위락오락시설,음식점,일상서비스시설,기타
0,강남구,개포1동,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,강남구,개포2동,2,4,1,0,2,1,0,1,0,0,0,0,1,0,0
2,강남구,개포3동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,강남구,개포4동,3,9,0,0,3,2,0,0,0,0,0,0,0,1,3
4,강남구,논현1동,13,13,0,0,18,1,3,0,5,0,0,1,9,4,1
5,강남구,논현2동,7,7,0,0,12,1,1,1,2,0,0,2,17,6,4
6,강남구,대치1동,0,4,0,0,1,1,0,0,0,0,0,0,0,1,1
7,강남구,대치2동,0,8,0,2,10,1,0,0,0,0,0,0,3,1,3
8,강남구,대치4동,6,3,0,0,5,2,0,0,0,0,0,1,5,1,4
9,강남구,도곡1동,1,4,0,0,2,2,0,0,2,0,0,0,3,0,0
10,강남구,도곡2동,0,6,0,0,4,0,0,0,0,0,0,0,1,0,2
11,강남구,삼성1동,2,5,0,0,11,1,0,0,0,0,0,1,6,1,3
12,강남구,삼성2동,2,10,0,0,13,1,1,0,0,0,0,0,0,2,4
13,강남구,세곡동,3,12,0,1,1,1,0,0,0,0,1,0,1,1,4
14,강남구,수서동,0,8,0,0,1,0,0,0,0,0,0,0,2,0,1
15,강남구,신사동,7,4,0,0,8,5,1,0,2,0,0,1,7,4,2
16,강남구,압구정동,1,13,0,1,6,3,1,0,2,0,0,0,12,1,2
17,강남구,역삼1동,20,15,0,0,26,7,4,0,2,0,0,3,18,5,3
18,강남구,역삼2동,3,3,0,0,9,2,0,0,0,0,0,0,3,2,1
19,강남구,일원1동,3,4,0,0,0,1,0,0,0,0,0,1,0,1,0
20,강남구,일원2동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,강남구,일원본동,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0
22,강남구,청담동,4,7,0,1,10,1,0,1,0,0,0,0,6,5,3
23,강동구,강일동,0,5,0,0,3,0,0,0,0,0,0,0,1,0,1
24,강동구,고덕1동,4,5,0,0,0,0,0,0,0,0,0,0,2,0,2
25,강동구,고덕2동,4,4,0,0,1,0,0,0,0,0,0,0,1,1,1
26,강동구,길동,8,7,0,1,8,2,0,0,2,1,1,3,3,3,3
27,강동구,둔촌1동,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
28,강동구,둔촌2동,1,5,0,1,1,2,1,0,0,0,1,0,3,0,1
29,강동구,명일1동,4,2,0,0,1,2,0,0,0,0,0,0,0,3,0
30,강동구,명일2동,1,6,0,0,4,0,0,0,0,0,0,0,0,0,3
31,강동구,상일1동,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1
32,강동구,상일2동,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
33,강동구,성내1동,4,2,0,0,1,1,0,0,0,0,0,0,3,1,1
34,강동구,성내2동,12,5,0,0,1,1,0,1,0,0,0,0,5,0,1
35,강동구,성내3동,1,3,0,0,2,3,0,0,0,0,1,1,4,1,0
36,강동구,암사1동,7,11,0,0,0,0,0,0,0,1,0,0,4,0,0
37,강동구,암사2동,2,3,0,0,0,0,0,0,0,0,0,0,2,0,1
38,강동구,암사3동,1,3,0,0,0,0,0,0,0,3,0,0,0,0,2
39,강동구,천호1동,15,8,0,0,1,0,1,0,0,0,0,0,0,2,0
40,강동구,천호2동,6,13,0,0,1,2,6,0,1,0,1,1,3,0,1
41,강동구,천호3동,4,8,0,0,2,0,0,1,0,0,0,1,4,1,1
42,강북구,미아동,6,4,0,0,3,0,0,0,0,0,1,0,2,0,1
43,강북구,번1동,4,8,0,0,3,0,0,1,0,0,0,1,4,1,0
44,강북구,번2동,3,2,0,0,0,1,0,2,0,0,0,0,0,0,0
45,강북구,번3동,0,6,0,0,0,1,0,0,0,0,0,0,0,0,2
46,강북구,삼각산동,0,8,0,0,1,0,0,0,0,0,0,0,2,1,0
47,강북구,삼양동,10,6,0,0,0,1,0,0,0,0,1,1,0,0,0
48,강북구,송중동,11,5,0,0,1,1,1,0,0,0,0,1,5,2,1
49,강북구,송천동,10,5,0,0,1,1,0,0,1,0,1,0,2,4,1
50,강북구,수유1동,4,3,0,0,1,0,0,0,0,0,0,0,0,2,0
51,강북구,수유2동,5,10,0,0,0,2,0,0,0,0,0,0,3,1,0
52,강북구,수유3동,16,2,0,0,3,2,1,0,0,1,0,2,11,5,2
53,강북구,우이동,6,6,0,0,0,1,2,0,0,0,0,0,0,0,2
54,강북구,인수동,9,10,0,0,0,0,0,1,1,0,0,0,0,1,1
55,강서구,가양1동,1,8,0,0,18,0,0,0,0,0,0,1,7,0,5
56,강서구,가양2동,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0
57,강서구,가양3동,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0
58,강서구,공항동,5,2,0,0,0,0,0,0,0,1,0,1,5,1,2
59,강서구,등촌1동,2,8,0,0,5,1,2,0,0,1,0,1,4,0,1
60,강서구,등촌2동,3,8,0,0,2,0,1,0,0,1,0,0,2,0,1
61,강서구,등촌3동,0,7,0,0,0,1,0,0,0,0,0,0,4,0,1
62,강서구,발산1동,3,4,0,0,3,2,0,0,1,1,1,1,2,0,1
63,강서구,방화1동,6,9,0,0,5,0,0,2,0,1,0,0,3,1,4
64,강서구,방화2동,3,4,0,0,0,1,0,0,0,0,1,1,0,0,7
65,강서구,방화3동,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1
66,강서구,염창동,0,13,0,0,4,1,0,0,0,0,0,0,2,0,2
67,강서구,우장산동,0,8,0,0,1,0,0,0,0,0,0,0,3,0,2
68,강서구,화곡1동,3,9,0,0,7,3,4,0,0,0,0,2,3,1,1
69,강서구,화곡2동,0,3,0,0,1,1,0,0,0,0,0,0,2,0,0
70,강서구,화곡3동,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0
71,강서구,화곡4동,3,5,0,0,1,0,0,1,0,0,0,0,4,0,0
72,강서구,화곡6동,3,6,0,0,3,1,0,0,0,0,0,1,4,1,1
73,강서구,화곡8동,3,5,0,0,0,1,0,0,0,0,0,0,0,1,1
74,강서구,화곡본동,2,9,0,1,11,2,0,0,0,0,0,0,1,1,0
75,관악구,낙성대동,6,1,0,0,0,1,0,0,2,0,0,0,5,3,2
76,관악구,난곡동,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0
77,관악구,난향동,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1
78,관악구,남현동,2,6,0,0,4,0,0,0,0,0,0,2,4,1,1
79,관악구,대학동,13,2,0,15,0,0,0,0,0,0,0,0,2,6,0
80,관악구,미성동,7,7,0,1,2,1,1,1,0,1,2,0,2,1,1
81,관악구,보라매동,13,6,0,0,1,1,0,0,0,0,1,0,2,0,0
82,관악구,삼성동,4,7,0,0,1,0,0,0,0,0,1,0,0,0,1
83,관악구,서림동,7,2,0,0,1,2,0,0,0,0,1,0,1,6,2
84,관악구,서원동,7,9,0,0,2,1,0,1,0,0,0,2,7,4,0
85,관악구,성현동,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0
86,관악구,신림동,9,5,0,0,7,1,2,0,0,0,0,4,8,8,0
87,관악구,신사동,16,1,0,0,2,0,0,1,0,0,0,0,1,1,0
88,관악구,신원동,8,3,0,0,1,1,0,0,0,0,0,0,1,2,0
89,관악구,은천동,7,10,0,0,1,1,0,0,0,0,0,0,1,0,0
90,관악구,인헌동,8,5,0,0,1,0,0,1,0,0,0,0,3,1,1
91,관악구,조원동,8,10,0,0,2,0,0,0,0,0,2,0,5,3,1
92,관악구,중앙동,5,3,0,0,4,1,0,0,0,0,0,1,3,1,2
93,관악구,청룡동,11,2,0,0,8,1,1,1,0,0,0,0,3,1,4
