,서ㆍ센터명,유형구분명,위도,경도
0,관악소방서,소방서,37.47394275780226,126.95235494914397
1,영동119안전센터,안전센터,37.52214340049246,127.03694384976185
2,관악119안전센터,안전센터,37.47401510998536,126.95234785895192
3,시흥119안전센터,안전센터,37.448586569856865,126.90051223851484
4,방배119안전센터,안전센터,37.47551792086877,126.98820968649177
5,잠원119안전센터,안전센터,37.499069782795786,127.01163184701932
6,구조대,구조대,37.473859063448806,126.9523758469222
7,난곡119안전센터,안전센터,37.47569612942797,126.91608879142854
8,독산119안전센터,안전센터,37.467921361454074,126.8982072831295
9,신영119안전센터,안전센터,37.60578630862466,126.96083056384313
10,서초소방서,소방서,37.4984214155398,126.99195243889407
11,여의도119안전센터,안전센터,37.51723616693228,126.92801808688274
12,서빙고119안전센터,안전센터,37.520830666878126,126.99503112848537
13,반포119안전센터,안전센터,37.498422186744754,126.99183605914773
14,구조대,구조대,37.49841501055601,126.99207022425225
15,구로소방서,소방서,37.497798835279426,126.86518667385575
16,수궁119안전센터,안전센터,37.49628008025488,126.82956551009701
17,고일119안전센터,안전센터,37.49786854364011,126.86529422140066
18,고척119안전센터,안전센터,37.50491551556971,126.85489993108479
19,신도림119안전센터,안전센터,37.50737824654192,126.88122198934308
20,대림119안전센터,안전센터,37.4973312895158,126.90404783989014
21,구로119안전센터,안전센터,37.49418907696525,126.88256321150658
22,구조대,구조대,37.49772560957702,126.86509228181318
23,진관119안전센터,안전센터,37.62897984304114,126.91979695378004
24,목동119안전센터,안전센터,37.54278694006478,126.88357674503082
25,신정119안전센터,안전센터,37.52180779509591,126.85094657902322
26,우면119안전센터,안전센터,37.48062937828837,127.02384562349508
27,양재119안전센터,안전센터,37.46945055621546,127.0408480267856
28,역삼119안전센터,안전센터,37.49715910951966,127.04244269549359
29,개포119안전센터,안전센터,37.47467865183608,127.04988579056945
30,수서119안전센터,안전센터,37.4849096675436,127.09285312274419
31,잠실119안전센터,안전센터,37.50731493317781,127.09390038305897
32,마포소방서,소방서,37.54938266600645,126.933181243066
33,신수119안전센터,안전센터,37.54945232348303,126.93318825122952
34,홍은119안전센터,안전센터,37.598713543205875,126.947074128932
35,구조대,구조대,37.54932564737473,126.93317794555324
36,서교119안전센터,안전센터,37.55031098547845,126.91552196889465
37,역촌119안전센터,안전센터,37.604995293250695,126.91065914050745
38,북가좌119안전센터,안전센터,37.58284721147144,126.91299757566473
39,수색119안전센터,안전센터,37.5852299534065,126.88992563126456
40,신교119안전센터,안전센터,37.58428309851467,126.97005847234014
41,마천119안전센터,안전센터,37.499700074087706,127.14253044975635
42,구조대,구조대,37.499925653727445,127.14265626143224
43,중랑소방서,소방서,37.61535506952416,127.09485538428237
44,신내119안전센터,안전센터,37.615314743160916,127.09499277248744
45,구조대,구조대,37.61540557307747,127.09473201013039
46,길동119안전센터,안전센터,37.54095479341472,127.1443769129097
47,용두119안전센터,안전센터,37.57786015752517,127.03174245956275
48,숭인119안전센터,안전센터,37.57776141814399,127.02177680998959
49,동대문소방서,소방서,37.564007161860175,127.06665926380668
50,이태원119안전센터,안전센터,37.534386503710884,126.99581591325135
51,구조대,구조대,37.57281891543567,126.97891644558979
52,북아현119안전센터,안전센터,37.56067620866878,126.95575322756417
53,회현119안전센터,안전센터,37.55819723059753,126.98333966129525
54,충무로119안전센터,안전센터,37.56214984280882,126.99295767396262
55,후암119안전센터,안전센터,37.54891132016912,126.97786357012126
56,여의도수난구조대,구조대,37.53454341980549,126.92060487155342
57,방화119안전센터,안전센터,37.57980191669516,126.81429796120769
58,화곡119안전센터,안전센터,37.54365263768203,126.84523309067818
59,양천119안전센터,안전센터,37.53018124878182,126.87208925638652
60,강서소방서,소방서,37.55803065003377,126.8602778866161
61,등촌119안전센터,안전센터,37.5580489033419,126.86023890310669
62,구조대,구조대,37.55801074721066,126.86032689836091
63,구조대,구조대,37.53014625174844,126.87244104476318
64,소방항공대,소방항공대,37.55457343590102,126.78742677524873
65,신월119안전센터,안전센터,37.527929900754344,126.83313632678546
66,상도119안전센터,안전센터,37.49900873730877,126.92950007195384
67,신길119안전센터,안전센터,37.51040950126145,126.92218147640774
68,신림119안전센터,안전센터,37.489666453501826,126.9239893332912
69,노량진119안전센터,안전센터,37.513663457316134,126.94695174298123
70,백운119안전센터,안전센터,37.49479996565868,126.96159962204538
71,연건119안전센터,안전센터,37.57941542618342,127.00187443675043
72,은평소방서,소방서,37.6289128140164,126.9197900269022
73,월계119안전센터,안전센터,37.62880307989871,127.05641208899267
74,하계119안전센터,안전센터,37.63819438764821,127.07109915770008
75,방학119안전센터,안전센터,37.66394622648208,127.04302553464748
76,구조대,구조대,37.66414497898335,127.04305520590161
77,구조대,구조대,37.63803388075505,127.0711696293848
78,119특수구조대,구조대,37.63368309885624,126.91445373521526
79,창동119안전센터,안전센터,37.646754916876674,127.04374677846955
80,송파소방서,소방서,37.49979898832032,127.14259199328684
81,방이119안전센터,안전센터,37.51978837850296,127.13660984844188
82,장안119안전센터,안전센터,37.56406830535896,127.06671898819921
83,전농119안전센터,안전센터,37.57632064256975,127.04599031702423
84,돈암119안전센터,안전센터,37.5909688705381,127.01444245279357
