,서ㆍ센터명,유형구분명,위도,경도,구,동
0,관악소방서,소방서,37.47394275780226,126.95235494914397,관악구,봉천동
1,영동119안전센터,안전센터,37.52214340049246,127.03694384976184,강남구,논현동
2,관악119안전센터,안전센터,37.47401510998536,126.95234785895192,관악구,봉천동
3,시흥119안전센터,안전센터,37.44858656985687,126.90051223851484,금천구,시흥동
4,방배119안전센터,안전센터,37.47551792086877,126.98820968649176,서초구,방배동
5,잠원119안전센터,안전센터,37.499069782795786,127.01163184701932,서초구,반포동
6,구조대,구조대,37.473859063448806,126.9523758469222,관악구,봉천동
7,난곡119안전센터,안전센터,37.47569612942797,126.91608879142854,관악구,신림동
8,독산119안전센터,안전센터,37.46792136145408,126.8982072831295,금천구,독산동
9,신영119안전센터,안전센터,37.60578630862466,126.96083056384312,종로구,신영동
10,서초소방서,소방서,37.4984214155398,126.99195243889407,서초구,반포동
11,여의도119안전센터,안전센터,37.51723616693228,126.92801808688274,영등포구,여의도동
12,서빙고119안전센터,안전센터,37.520830666878126,126.99503112848537,용산구,서빙고동
13,반포119안전센터,안전센터,37.498422186744754,126.99183605914772,서초구,반포동
14,구조대,구조대,37.49841501055601,126.99207022425225,서초구,반포동
15,구로소방서,소방서,37.49779883527943,126.86518667385576,구로구,고척동
16,수궁119안전센터,안전센터,37.49628008025488,126.829565510097,구로구,궁동
17,고일119안전센터,안전센터,37.49786854364011,126.86529422140066,구로구,고척동
18,고척119안전센터,안전센터,37.50491551556971,126.8548999310848,구로구,고척동
19,신도림119안전센터,안전센터,37.50737824654192,126.88122198934308,구로구,신도림동
20,대림119안전센터,안전센터,37.4973312895158,126.90404783989014,영등포구,신길동
21,구로119안전센터,안전센터,37.49418907696525,126.88256321150658,구로구,구로동
22,구조대,구조대,37.49772560957702,126.86509228181318,구로구,고척동
23,진관119안전센터,안전센터,37.62897984304114,126.91979695378004,은평구,진관동
24,목동119안전센터,안전센터,37.54278694006478,126.88357674503082,양천구,목동
25,신정119안전센터,안전센터,37.52180779509591,126.85094657902322,양천구,신정동
26,우면119안전센터,안전센터,37.48062937828837,127.02384562349508,서초구,서초동
27,양재119안전센터,안전센터,37.46945055621546,127.0408480267856,서초구,양재동
28,역삼119안전센터,안전센터,37.49715910951966,127.0424426954936,강남구,역삼동
29,개포119안전센터,안전센터,37.47467865183608,127.04988579056943,강남구,개포동
30,수서119안전센터,안전센터,37.4849096675436,127.0928531227442,강남구,수서동
31,잠실119안전센터,안전센터,37.50731493317781,127.09390038305897,송파구,잠실동
32,마포소방서,소방서,37.54938266600645,126.933181243066,마포구,신수동
33,신수119안전센터,안전센터,37.54945232348303,126.93318825122952,마포구,신수동
34,홍은119안전센터,안전센터,37.59871354320588,126.947074128932,서대문구,홍은동
35,구조대,구조대,37.54932564737473,126.93317794555324,마포구,신수동
36,서교119안전센터,안전센터,37.55031098547845,126.91552196889464,마포구,서교동
37,역촌119안전센터,안전센터,37.604995293250695,126.91065914050743,은평구,역촌동
38,북가좌119안전센터,안전센터,37.58284721147144,126.91299757566472,서대문구,북가좌동
39,수색119안전센터,안전센터,37.5852299534065,126.88992563126456,은평구,수색동
40,신교119안전센터,안전센터,37.58428309851467,126.97005847234014,종로구,신교동
41,마천119안전센터,안전센터,37.499700074087706,127.14253044975636,송파구,마천동
42,구조대,구조대,37.499925653727445,127.14265626143224,송파구,마천동
43,중랑소방서,소방서,37.61535506952416,127.09485538428235,중랑구,신내동
44,신내119안전센터,안전센터,37.61531474316092,127.09499277248744,중랑구,신내동
45,구조대,구조대,37.61540557307747,127.0947320101304,중랑구,신내동
46,길동119안전센터,안전센터,37.54095479341472,127.1443769129097,강동구,길동
47,용두119안전센터,안전센터,37.57786015752517,127.03174245956276,동대문구,용두동
48,숭인119안전센터,안전센터,37.57776141814399,127.0217768099896,종로구,숭인동
49,동대문소방서,소방서,37.564007161860175,127.06665926380668,동대문구,장안동
50,이태원119안전센터,안전센터,37.53438650371088,126.99581591325136,용산구,이태원동
51,구조대,구조대,37.57281891543567,126.9789164455898,종로구,수송동
52,북아현119안전센터,안전센터,37.56067620866878,126.95575322756416,서대문구,북아현동
53,회현119안전센터,안전센터,37.55819723059753,126.98333966129525,중구,회현동2가
54,충무로119안전센터,안전센터,37.56214984280882,126.99295767396262,중구,충무로3가
55,후암119안전센터,안전센터,37.54891132016912,126.97786357012126,용산구,후암동
56,여의도수난구조대,구조대,37.53454341980549,126.92060487155342,영등포구,여의도동
57,방화119안전센터,안전센터,37.57980191669516,126.81429796120769,강서구,방화동
58,화곡119안전센터,안전센터,37.54365263768203,126.84523309067818,강서구,화곡동
59,양천119안전센터,안전센터,37.53018124878182,126.87208925638652,양천구,목동
60,강서소방서,소방서,37.55803065003377,126.8602778866161,강서구,등촌동
61,등촌119안전센터,안전센터,37.5580489033419,126.86023890310668,강서구,등촌동
62,구조대,구조대,37.55801074721066,126.86032689836092,강서구,등촌동
63,구조대,구조대,37.53014625174844,126.87244104476318,양천구,목동
64,소방항공대,소방항공대,37.55457343590102,126.78742677524872,강서구,오곡동
65,신월119안전센터,안전센터,37.52792990075434,126.83313632678546,양천구,신월동
66,상도119안전센터,안전센터,37.49900873730877,126.92950007195384,동작구,상도동
67,신길119안전센터,안전센터,37.51040950126145,126.92218147640774,영등포구,신길동
68,신림119안전센터,안전센터,37.48966645350183,126.9239893332912,관악구,신림동
69,노량진119안전센터,안전센터,37.51366345731613,126.94695174298124,동작구,노량진동
70,백운119안전센터,안전센터,37.49479996565868,126.96159962204538,동작구,상도동
71,연건119안전센터,안전센터,37.57941542618342,127.00187443675044,종로구,연건동
72,은평소방서,소방서,37.6289128140164,126.9197900269022,은평구,진관동
73,월계119안전센터,안전센터,37.62880307989871,127.05641208899269,노원구,월계동
74,하계119안전센터,안전센터,37.63819438764821,127.07109915770008,노원구,하계동
75,방학119안전센터,안전센터,37.66394622648208,127.04302553464748,도봉구,방학동
76,구조대,구조대,37.66414497898335,127.0430552059016,도봉구,방학동
77,구조대,구조대,37.63803388075505,127.0711696293848,노원구,하계동
78,119특수구조대,구조대,37.63368309885624,126.91445373521526,은평구,진관동
79,창동119안전센터,안전센터,37.646754916876674,127.04374677846955,도봉구,창동
80,송파소방서,소방서,37.49979898832032,127.14259199328684,송파구,마천동
81,방이119안전센터,안전센터,37.51978837850296,127.13660984844188,송파구,방이동
82,장안119안전센터,안전센터,37.56406830535896,127.0667189881992,동대문구,장안동
83,전농119안전센터,안전센터,37.57632064256975,127.04599031702423,동대문구,전농동
84,돈암119안전센터,안전센터,37.5909688705381,127.01444245279356,성북구,삼선동4가
85,구조대,구조대,37.56393997134395,127.0666022629457,동대문구,장안동
86,중부소방서,소방서,37.56486868517291,127.0153975260016,중구,무학동
87,무학119안전센터,안전센터,37.564799912111226,127.0153887777328,중구,무학동
88,구조대,구조대,37.56494357513382,127.01540039235402,중구,무학동
89,을지로119안전센터,안전센터,37.566718432293065,127.01208545095317,중구,신당동
90,신당119안전센터,안전센터,37.55292948098462,127.00963769879128,중구,신당동
91,천호119안전센터,안전센터,37.538603664029566,127.13137634247953,강동구,천호동
92,수락119안전센터,안전센터,37.67969957056904,127.05573948279776,노원구,상계동
93,공릉119안전센터,안전센터,37.619076517973085,127.08072579581167,노원구,공릉동
94,종암119안전센터,안전센터,37.60252104522968,127.03161749763925,성북구,종암동
95,구조대,구조대,37.60235262660099,127.03189973651786,성북구,종암동
96,성북소방서,소방서,37.60243595850056,127.03175544581482,성북구,종암동
97,청량리119안전센터,안전센터,37.58714471938664,127.05237493616076,동대문구,청량리동
