연번,서ㆍ센터ID,서ㆍ센터명,유형구분명,상위서ㆍ센터ID,일련번호,위도,경도,X좌표,Y좌표
1,1116000,관악소방서,소방서,1100000,43,37.47394275780226,126.95235494914397,195785.50152,541613.179889
2,1114103,영동119안전센터,안전센터/구조대,1114000,44,37.52214340049246,127.03694384976185,203265.811458,546962.399786
3,1116401,관악119안전센터,안전센터/구조대,1116000,45,37.47401510998536,126.95234785895192,195784.878412,541621.210326
4,1119106,시흥119안전센터,안전센터/구조대,1119000,46,37.448586569856865,126.90051223851484,191196.721148,538802.571413
5,1115102,방배119안전센터,안전센터/구조대,1115000,47,37.47551792086877,126.98820968649177,198957.096,541787.001
6,1115105,잠원119안전센터,안전센터/구조대,1115000,48,37.49906978279578,127.01163184701932,201028.564,544400.945
7,1116402,구조대,안전센터/구조대,1116000,49,37.473859063448806,126.9523758469222,195787.34536,541603.890006
8,1116104,난곡119안전센터,안전센터/구조대,1116000,50,37.47569612942797,126.91608879142854,192577.709214,541810.021306
9,1119105,독산119안전센터,안전센터/구조대,1119000,51,37.467921361454074,126.8982072831295,190995.083363,540948.686163
10,1103106,신영119안전센터,안전센터/구조대,1103000,52,37.60578630862466,126.96083056384313,196541.317287,556245.859267
11,1115000,서초소방서,소방서,1100000,53,37.4984214155398,126.99195243889407,199288.375854,544328.95152
12,1108102,여의도119안전센터,안전센터/구조대,1108000,54,37.517236166932285,126.92801808688274,193636.43027,546419.55176
13,1106105,서빙고119안전센터,안전센터/구조대,1106000,55,37.520830666878126,126.99503112848537,199560.747414,546816.073163
14,1115401,반포119안전센터,안전센터/구조대,1115000,56,37.498422186744754,126.99183605914773,199278.084714,544329.038
15,1115402,구조대,안전센터/구조대,1115000,57,37.49841501055601,126.99207022425225,199298.791236,544328.239766
16,1119000,구로소방서,소방서,1100000,58,37.497798835279426,126.86518667385575,188078.71896,544268.360247
17,1119102,수궁119안전센터,안전센터/구조대,1119000,59,37.49628008025488,126.82956551009701,184928.501118,544104.905711
18,1119401,고일119안전센터,안전센터/구조대,1119000,60,37.49786854364011,126.86529422140066,188088.240258,544276.083358
19,1119103,고척119안전센터,안전센터/구조대,1119000,61,37.50491551556971,126.85489993108479,187170.299497,545059.572936
20,1119107,신도림119안전센터,안전센터/구조대,1119000,62,37.50737824654192,126.88122198934308,189498.033217,545329.641595
21,1108104,대림119안전센터,안전센터/구조대,1108000,63,37.4973312895158,126.90404783989014,191515.084635,544212.25613
22,1119104,구로119안전센터,안전센터/구조대,1119000,64,37.49418907696525,126.88256321150658,189614.793247,543865.664911
23,1119402,구조대,안전센터/구조대,1119000,65,37.49772560957702,126.86509228181318,188070.360402,544260.2451
24,1112108,진관119안전센터,안전센터/구조대,1112000,66,37.62897984304114,126.91979695378004,192920.226024,558822.396153
25,1121103,목동119안전센터,안전센터/구조대,1121000,67,37.54278694006478,126.88357674503082,189711.097195,549259.306221
26,1121102,신정119안전센터,안전센터/구조대,1121000,68,37.52180779509591,126.85094657902322,186823.715234,546934.949194
27,1115106,우면119안전센터,안전센터/구조대,1115000,69,37.48062937828837,127.02384562349508,202109.104433,542354.506176
28,1115103,양재119안전센터,안전센터/구조대,1115000,70,37.46945055621546,127.0408480267856,203613.476013,541114.323624
29,1114104,역삼119안전센터,안전센터/구조대,1114000,71,37.49715910951966,127.04244269549359,203753.15647,544189.667732
30,1114106,개포119안전센터,안전센터/구조대,1114000,72,37.47467865183608,127.04988579056945,204412.66247,541694.956875
31,1114105,수서119안전센터,안전센터/구조대,1114000,73,37.4849096675436,127.09285312274419,208212.231587,542833.343865
32,1120104,잠실119안전센터,안전센터/구조대,1120000,74,37.50731493317781,127.09390038305897,208302.374,545320.129
33,1113000,마포소방서,소방서,1100000,75,37.54938266600645,126.933181243066,194095.41467,549987.080533
34,1113102,신수119안전센터,안전센터/구조대,1113000,76,37.54945232348303,126.93318825122952,194096.039456,549994.811236
35,1123103,홍은119안전센터,안전센터/구조대,1123000,77,37.598713543205875,126.947074128932,195326.174,555461.456
36,1113201,구조대,안전센터/구조대,1113000,78,37.54932564737473,126.93317794555324,194095.11878,549980.752357
37,1113104,서교119안전센터,안전센터/구조대,1113000,79,37.550310985478454,126.91552196889465,192535.006676,550091.368532
38,1112106,역촌119안전센터,안전센터/구조대,1112000,80,37.604995293250695,126.91065914050745,192111.068864,556161.096981
39,1123102,북가좌119안전센터,안전센터/구조대,1123000,81,37.58284721147144,126.91299757566473,192315.279035,553702.713182
40,1112107,수색119안전센터,안전센터/구조대,1112000,82,37.5852299534065,126.88992563126456,190277.697367,553969.308159
41,1103104,신교119안전센터,안전센터/구조대,1103000,83,37.58428309851467,126.97005847234014,197355.385811,553858.943221
42,1120401,마천119안전센터,안전센터/구조대,1120000,116,37.499700074087706,127.14253044975635,212603.372133,544480.378632
43,1120402,구조대,안전센터/구조대,1120000,117,37.499925653727445,127.14265626143224,212614.459192,544505.431922
44,1122000,중랑소방서,소방서,1100000,118,37.61535506952416,127.09485538428237,208374.710284,557311.397392
45,1122101,신내119안전센터,안전센터/구조대,1122000,119,37.615314743160916,127.09499277248744,208386.844717,557306.933865
46,1122201,구조대,안전센터/구조대,1122000,120,37.615405573077474,127.09473201013039,208363.812014,557316.991744
47,1118105,길동119안전센터,안전센터/구조대,1118000,121,37.54095479341472,127.1443769129097,212759.620217,549059.38613
48,1107104,용두119안전센터,안전센터/구조대,1107000,122,37.57786015752517,127.03174245956275,202803.9241,553146.122419
49,1103109,숭인119안전센터,안전센터/구조대,1103000,123,37.57776141814399,127.02177680998959,201923.625434,553134.912754
50,1107000,동대문소방서,소방서,1100000,124,37.564007161860175,127.06665926380668,205889.340299,551610.215893
51,1106103,이태원119안전센터,안전센터/구조대,1106000,84,37.534386503710884,126.99581591325135,199630.19,548320.599
52,1103201,구조대,안전센터/구조대,1103000,85,37.57281891543567,126.97891644558979,198137.489279,552586.338035
53,1123104,북아현119안전센터,안전센터/구조대,1123000,86,37.56067620866878,126.95575322756417,196090.627492,551239.350965
54,1100106,회현119안전센터,안전센터/구조대,1100000,87,37.55819723059753,126.98333966129525,198527.946267,550963.424019
55,1104103,충무로119안전센터,안전센터/구조대,1104000,88,37.56214984280882,126.99295767396262,199377.795682,551402.010068
56,1106104,후암119안전센터,안전센터/구조대,1106000,89,37.54891132016912,126.97786357012126,198043.853832,549932.898804
57,1126306,여의도수난구조대,안전센터/구조대,1108000,90,37.53454341980549,126.92060487155342,192982.685318,548340.968633
58,1117103,방화119안전센터,안전센터/구조대,1117000,91,37.57980191669516,126.81429796120769,183596.698667,553377.373508
59,1117102,화곡119안전센터,안전센터/구조대,1117000,92,37.54365263768203,126.84523309067818,186322.63379,549360.274919
60,1121101,양천119안전센터,안전센터/구조대,1121000,93,37.53018124878182,126.87208925638652,188693.987219,547861.547362
61,1117000,강서소방서,소방서,1100000,94,37.558030650033764,126.8602778866161,187654.5746,550953.980786
62,1117401,등촌119안전센터,안전센터/구조대,1117000,95,37.5580489033419,126.86023890310669,187651.133145,550956.011809
63,1117402,구조대,안전센터/구조대,1117000,96,37.55801074721066,126.86032689836091,187658.90185,550951.765371
64,1121201,구조대,안전센터/구조대,1121000,97,37.530146251748434,126.87244104476318,188725.07649,547857.620893
65,1126503,소방항공대,안전센터/구조대,1126000,98,37.55457343590102,126.78742677524873,181216.795568,550582.333417
66,1121104,신월119안전센터,안전센터/구조대,1121000,99,37.527929900754344,126.83313632678546,185250.497673,547617.070838
67,1102103,상도119안전센터,안전센터/구조대,1102000,100,37.49900873730877,126.92950007195384,193765.929731,544396.440962
68,1108105,신길119안전센터,안전센터/구조대,1108000,101,37.51040950126145,126.92218147640774,193119.817284,545662.289193
69,1116103,신림119안전센터,안전센터/구조대,1116000,102,37.489666453501826,126.9239893332912,193277.796396,543359.948592
70,1102102,노량진119안전센터,안전센터/구조대,1102000,103,37.513663457316134,126.94695174298123,195310.039,546021.914
71,1102104,백운119안전센터,안전센터/구조대,1102000,104,37.49479996565868,126.96159962204538,196604.194,543927.68
72,1103105,연건119안전센터,안전센터/구조대,1103000,105,37.57941542618342,127.00187443675043,200165.572204,553318.267372
73,1112000,은평소방서,소방서,1100000,106,37.6289128140164,126.9197900269022,192919.608208,558814.957158
74,1111104,월계119안전센터,안전센터/구조대,1111000,107,37.62880307989871,127.05641208899267,204979.683283,558801.248664
75,1111101,하계119안전센터,안전센터/구조대,1111000,108,37.63819438764822,127.07109915770008,206275.370194,559844.466718
76,1110102,방학119안전센터,안전센터/구조대,1110000,109,37.66394622648208,127.04302553464748,203796.218382,562701.15355
77,1110201,구조대,안전센터/구조대,1110000,110,37.66414497898335,127.04305520590161,203798.8262,562723.214319
78,1111201,구조대,안전센터/구조대,1111000,111,37.63803388075506,127.0711696293848,206281.603696,559826.656828
79,1126502,119특수구조대,안전센터/구조대,1126000,112,37.63368309885624,126.91445373521526,192449.03919,559344.824903
80,1110103,창동119안전센터,안전센터/구조대,1110000,113,37.646754916876674,127.04374677846955,203860.745,560793.12
81,1120000,송파소방서,소방서,1100000,114,37.49979898832032,127.14259199328684,212608.797541,544491.365081
82,1120103,방이119안전센터,안전센터/구조대,1120000,115,37.51978837850296,127.13660984844188,212076.601,546709.149
83,1107101,장안119안전센터,안전센터/구조대,1107000,125,37.56406830535895,127.06671898819921,205894.612127,551617.005848
84,1107103,전농119안전센터,안전센터/구조대,1107000,126,37.57632064256975,127.04599031702423,204062.571611,552975.774611
85,1109102,돈암119안전센터,안전센터/구조대,1109000,127,37.5909688705381,127.01444245279357,201275.52941,554600.664887
