,자치구,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06,2021. 07,2021. 08,2021. 09,2021. 10,2021. 11,2021. 12,2022. 01,2022. 02,2022. 03,2022. 04,2022. 05,2022. 06,2022. 07,2022. 08,2022. 09,2022. 10,2022. 11,2022. 12,2021 총합,2022 총합
0,종로구,18.0,9.0,18.0,14.0,16.0,15.0,26.0,13.0,15.0,14.0,13.0,21.0,14.0,15.0,17.0,15.0,20.0,10.0,17.0,18.0,19.0,13.0,17.0,16.0,192.0,191.0
1,중구,19.0,7.0,16.0,11.0,7.0,11.0,19.0,19.0,20.0,11.0,16.0,15.0,20.0,25.0,16.0,15.0,12.0,15.0,17.0,16.0,10.0,13.0,16.0,15.0,171.0,190.0
2,용산구,14.0,18.0,14.0,22.0,15.0,14.0,13.0,9.0,15.0,12.0,15.0,15.0,22.0,7.0,21.0,21.0,20.0,13.0,16.0,20.0,10.0,14.0,18.0,25.0,176.0,207.0
3,성동구,17.0,17.0,15.0,14.0,15.0,19.0,17.0,18.0,13.0,15.0,17.0,14.0,17.0,21.0,17.0,19.0,28.0,13.0,19.0,16.0,16.0,17.0,9.0,23.0,191.0,215.0
4,광진구,17.0,12.0,13.0,16.0,20.0,19.0,26.0,11.0,15.0,13.0,26.0,17.0,16.0,10.0,9.0,13.0,15.0,12.0,15.0,12.0,8.0,15.0,8.0,12.0,205.0,145.0
5,동대문구,22.0,13.0,13.0,12.0,10.0,9.0,18.0,13.0,11.0,11.0,7.0,16.0,13.0,15.0,14.0,19.0,15.0,12.0,17.0,15.0,15.0,13.0,13.0,12.0,155.0,173.0
6,중랑구,25.0,17.0,23.0,10.0,13.0,16.0,25.0,18.0,12.0,19.0,14.0,21.0,12.0,18.0,22.0,17.0,26.0,22.0,19.0,12.0,12.0,9.0,6.0,13.0,213.0,188.0
7,성북구,24.0,15.0,10.0,14.0,15.0,6.0,14.0,17.0,12.0,15.0,9.0,17.0,17.0,13.0,10.0,10.0,18.0,12.0,14.0,4.0,12.0,10.0,17.0,21.0,168.0,158.0
8,강북구,13.0,5.0,10.0,16.0,14.0,14.0,15.0,9.0,16.0,14.0,9.0,11.0,18.0,12.0,7.0,15.0,18.0,14.0,14.0,18.0,8.0,9.0,7.0,15.0,146.0,155.0
9,도봉구,16.0,8.0,16.0,12.0,13.0,14.0,10.0,10.0,9.0,14.0,9.0,9.0,16.0,8.0,12.0,16.0,13.0,16.0,10.0,10.0,13.0,19.0,9.0,17.0,140.0,159.0
10,노원구,15.0,19.0,13.0,14.0,16.0,12.0,24.0,13.0,14.0,9.0,10.0,14.0,18.0,10.0,14.0,22.0,14.0,12.0,13.0,12.0,15.0,13.0,10.0,16.0,173.0,169.0
11,은평구,22.0,17.0,8.0,10.0,11.0,7.0,19.0,16.0,10.0,9.0,13.0,18.0,20.0,14.0,10.0,18.0,18.0,16.0,20.0,19.0,16.0,20.0,19.0,27.0,160.0,217.0
12,서대문구,28.0,23.0,21.0,18.0,15.0,19.0,18.0,15.0,35.0,22.0,22.0,26.0,23.0,12.0,24.0,26.0,24.0,15.0,16.0,14.0,19.0,16.0,13.0,21.0,262.0,223.0
13,마포구,26.0,18.0,23.0,23.0,15.0,13.0,26.0,14.0,16.0,28.0,20.0,20.0,22.0,27.0,23.0,23.0,20.0,19.0,26.0,20.0,19.0,18.0,15.0,18.0,242.0,250.0
14,양천구,21.0,12.0,12.0,21.0,9.0,16.0,16.0,10.0,8.0,9.0,8.0,9.0,7.0,20.0,7.0,11.0,17.0,7.0,9.0,20.0,10.0,14.0,16.0,21.0,151.0,159.0
15,강서구,22.0,16.0,27.0,17.0,21.0,16.0,20.0,14.0,13.0,13.0,21.0,23.0,15.0,19.0,19.0,22.0,20.0,18.0,18.0,17.0,20.0,17.0,13.0,25.0,223.0,223.0
16,구로구,25.0,12.0,17.0,14.0,10.0,9.0,16.0,8.0,14.0,19.0,14.0,15.0,17.0,10.0,12.0,22.0,20.0,22.0,29.0,21.0,23.0,14.0,14.0,18.0,173.0,222.0
17,금천구,15.0,8.0,15.0,4.0,6.0,8.0,12.0,8.0,5.0,15.0,8.0,14.0,12.0,19.0,19.0,13.0,26.0,27.0,15.0,13.0,18.0,17.0,14.0,21.0,118.0,214.0
18,영등포구,15.0,18.0,15.0,25.0,18.0,17.0,22.0,14.0,16.0,12.0,19.0,17.0,18.0,19.0,20.0,21.0,20.0,18.0,21.0,25.0,33.0,20.0,17.0,17.0,208.0,249.0
19,동작구,14.0,10.0,10.0,9.0,11.0,4.0,14.0,9.0,7.0,13.0,10.0,18.0,11.0,17.0,15.0,12.0,21.0,16.0,12.0,17.0,16.0,14.0,17.0,19.0,129.0,187.0
20,관악구,33.0,18.0,17.0,27.0,16.0,13.0,17.0,24.0,25.0,21.0,25.0,23.0,20.0,21.0,16.0,26.0,26.0,17.0,30.0,25.0,17.0,31.0,30.0,46.0,259.0,305.0
21,서초구,19.0,24.0,16.0,15.0,29.0,16.0,19.0,16.0,16.0,19.0,16.0,26.0,28.0,23.0,15.0,22.0,19.0,16.0,15.0,11.0,12.0,16.0,17.0,22.0,231.0,216.0
22,강남구,43.0,35.0,39.0,38.0,33.0,30.0,29.0,32.0,21.0,28.0,29.0,34.0,32.0,40.0,26.0,37.0,43.0,33.0,38.0,37.0,42.0,34.0,22.0,53.0,391.0,437.0
23,송파구,24.0,20.0,33.0,30.0,15.0,16.0,25.0,18.0,23.0,18.0,21.0,20.0,22.0,28.0,28.0,44.0,39.0,29.0,31.0,24.0,21.0,28.0,19.0,37.0,263.0,350.0
24,강동구,14.0,22.0,19.0,25.0,15.0,16.0,18.0,11.0,18.0,15.0,18.0,20.0,18.0,16.0,14.0,22.0,19.0,16.0,18.0,16.0,12.0,11.0,12.0,20.0,211.0,194.0
26,서울시,521.0,393.0,433.0,431.0,378.0,349.0,478.0,359.0,379.0,388.0,389.0,453.0,448.0,439.0,407.0,501.0,531.0,420.0,469.0,432.0,416.0,415.0,368.0,550.0,4951.0,5396.0
