index,사망수,부상자수,재산피해금액,출동소요시간,화재진압시간,시군구명,읍면동명,경도,위도,현장소방서거리,현장안전센터거리,시간단위기온,시간단위강수량,시간단위풍속,시간단위풍향,시간단위습도,시간단위적설량,시간단위가시거리,계절,시간대,화재발생일시,주말여부
23315,0,0,50,421,11702,구로구,구로동,126.8758612,37.5042352,2.0,1.0,-8.3,,1.8,250.0,66.0,,2000,겨울,밤,2021-01-01 00:00:00,평일
23320,0,0,100,447,0,동대문구,이문동,127.0622822,37.6019984,5.0,3.0,-0.2,,3.0,250.0,56.0,,2000,겨울,낮,2021-01-01 13:16:00,평일
23321,0,2,661,514,2249,서초구,우면동,127.0274396,37.4641175,8.0,3.0,-0.2,,3.0,250.0,56.0,,2000,겨울,낮,2021-01-01 13:43:00,평일
23322,0,0,498,427,1256,성북구,장위동,127.0415366,37.6138022,4.0,2.0,-0.2,,3.8,270.0,58.0,,2000,겨울,낮,2021-01-01 16:17:00,평일
23341,0,0,29,427,312,강서구,가양동,126.8514494,37.5689162,3.0,3.0,-1.7,,3.4,290.0,34.0,,2000,겨울,낮,2021-01-02 16:04:00,평일
23350,0,0,6304,500,2700,은평구,불광동,126.9259428,37.6271533,2.0,2.0,-8.7,,0.9,230.0,58.0,,2000,겨울,낮,2021-01-03 08:32:00,평일
23354,0,0,23,431,0,관악구,신림동,126.9288823,37.4838299,4.0,2.0,-2.6,,1.9,270.0,36.0,,2000,겨울,낮,2021-01-03 17:31:00,평일
23355,0,0,3965,436,2440,노원구,공릉동,127.0854336,37.6255265,3.0,1.0,-3.6,,2.1,270.0,40.0,,2000,겨울,낮,2021-01-03 18:15:00,평일
23358,0,0,50,423,414,송파구,송파동,127.1108579,37.5093046,4.0,3.0,-6.2,,0.5,290.0,48.0,,2000,겨울,밤,2021-01-04 00:09:00,평일
23362,0,0,173,436,329,서대문구,홍제동,126.9415212,37.5905356,3.0,1.0,-7.4,,1.3,20.0,56.0,,2000,겨울,밤,2021-01-04 04:18:00,평일
23366,0,0,4,521,2027,강남구,대치동,127.0546219,37.5002033,3.0,3.0,-8.3,,2.4,50.0,51.0,,2000,겨울,낮,2021-01-04 07:42:00,평일
23370,0,0,438,431,631,중랑구,상봉동,127.0933899,37.6039653,2.0,2.0,-7.6,,2.5,50.0,48.0,,2000,겨울,낮,2021-01-04 09:15:00,평일
23381,0,0,11,500,0,성동구,홍익동,127.0352215,37.5655242,3.0,1.0,-0.5,,2.3,90.0,57.0,,2000,겨울,밤,2021-01-04 21:13:00,평일
23385,0,0,1877,442,706,강남구,신사동,127.0214621,37.5226738,6.0,2.0,-2.7,,2.2,290.0,78.0,0.0,1564,겨울,밤,2021-01-05 04:57:00,평일
