연번,비상소화장치일련번호,비상소화장치고유번호,geometry
1,110080030,41,POINT (126.9143790416038 37.570542820324434)
2,110080031,54,POINT (126.90910983392715 37.588984348035225)
3,110080032,56,POINT (126.95137336075969 37.596039805648054)
4,110080033,57,POINT (126.9506986396432 37.600517642130285)
5,110080034,55,POINT (126.90423968355844 37.5960208309644)
6,110080037,60,POINT (126.91163022715911 37.626076505043514)
7,110080040,62,POINT (126.92347558169996 37.62485911125063)
8,110080041,22,POINT (126.9327473604666 37.55828521981003)
9,110080042,23,POINT (126.9303466027321 37.56025013975677)
10,110080043,58,POINT (126.90628457366566 37.58589475500564)
11,110082343,000046,POINT (126.95803377496611 37.50978891942538)
12,110082344,000047,POINT (126.96903122385858 37.50418966227235)
13,110082345,000048,POINT (126.96756676597144 37.50451929782551)
14,110082347,000050,POINT (126.93600460713391 37.50832871300055)
15,110082348,000051,POINT (126.97122682452898 37.50477306367343)
16,110082350,000019,POINT (126.91625842096838 37.48713019291381)
17,110082351,000020,POINT (126.92296936126529 37.48125621677477)
18,110082352,000021,POINT (126.93048976876403 37.491153972305455)
19,110082355,000023,POINT (126.95873398451721 37.48996242772244)
20,110082356,000026,POINT (126.95868116294847 37.48454564146384)
21,110082357,000056,POINT (126.93630289821999 37.465908380743066)
22,110082358,000031,POINT (126.93158115263448 37.47042706484682)
23,110082362,000077,POINT (126.9107790370156 37.48869294999167)
24,110082363,000079,POINT (126.96975268091218 37.50445507162696)
25,110082364,000082,POINT (126.97464103119215 37.47824450693001)
26,110080571,4-32,POINT (126.99670690823982 37.56889623786287)
27,110080104,9,POINT (126.90607694610469 37.616738637413924)
28,110080108,13,POINT (126.91351456175134 37.62868635232226)
29,110080621,000260,POINT (126.98681994497069 37.55888356339281)
30,110081072,000041,POINT (127.06654887132036 37.53473988082061)
31,110081074,000057,POINT (127.08793457859389 37.5675918742989)
32,110081075,000052,POINT (127.02666348446567 37.548773046626096)
33,110081076,000058,POINT (127.05183106213073 37.53655873321231)
34,110081077,000050,POINT (127.05650658450494 37.54090848834259)
35,110081078,000055,POINT (127.07889097230964 37.53668329045938)
36,110081079,000051,POINT (127.0308229972864 37.55903517827099)
37,110081083,000060,POINT (127.0666743102945 37.53506440768164)
38,110081084,000063,POINT (127.07256999597845 37.545582082325296)
39,110080614,000252,POINT (126.98185529079991 37.55604888380215)
40,110081086,000064,POINT (127.07985434182662 37.56668261133763)
41,110081087,000066,POINT (127.07390518363597 37.55598817937579)
42,110081088,000059,POINT (127.09203749097077 37.54815410248526)
43,110081090,000068,POINT (127.07846637689535 37.53533679851236)
44,110081091,000061,POINT (127.09158254261578 37.54040610279422)
45,110081092,000067,POINT (127.10490944598654 37.548240116679374)
46,110081095,000073,POINT (127.05006324571805 37.537218558090466)
47,110081097,000070,POINT (127.06507732706866 37.5499629601288)
48,110081098,000076,POINT (127.04420369169621 37.563932333273705)
49,110081100,000074,POINT (127.0468279998236 37.559790825482295)
50,110081101,000075,POINT (127.08955415707813 37.56775912366961)
51,110081102,000077,POINT (127.07141737000968 37.54879340532231)
52,110081103,000020,POINT (127.08931297988438 37.561322262585776)
53,110081105,000079,POINT (127.08204756887044 37.53878520001331)
54,110081106,000080,POINT (127.07757599076115 37.54509319584249)
55,110081107,000081,POINT (127.0874321759454 37.54866994223279)
56,110081108,000108,POINT (127.09616801670127 37.55316142362891)
57,110081109,000084,POINT (127.06805609154698 37.54411845337761)
58,110081565,103,POINT (127.03776141146399 37.60433475067479)
59,110081566,104,POINT (127.05109581703334 37.61108354473852)
60,110081567,105,POINT (126.99940064928704 37.61236304855327)
61,110081504,78,POINT (127.01232891602604 37.61166611030308)
62,110081505,79,POINT (127.00862285487703 37.58386529066808)
63,110081508,83,POINT (127.01320626692504 37.58706429543636)
64,110081509,81,POINT (127.00821899929404 37.609808596817984)
65,110081510,84,POINT (127.04537527752903 37.61479533943279)
66,110081511,85,POINT (127.00691987371712 37.61190021012025)
67,110081513,145,POINT (127.03363801197781 37.5916304718117)
68,110081514,146,POINT (127.02770245213206 37.59826729302152)
69,110081515,147,POINT (127.04171116228845 37.60839373129277)
70,110080198,000015,POINT (127.03789536468437 37.51869840575944)
71,110080199,000016,POINT (127.02770876118176 37.508484365016464)
72,110080192,89,POINT (126.95913857198735 37.56161019034575)
73,110080200,000017,POINT (127.0348012459029 37.509972999724475)
74,110080201,000018,POINT (127.02675404876062 37.51044255159931)
75,110080203,000020,POINT (127.02701962700499 37.51498606556789)
76,110080207,000051,POINT (127.065068266725 37.474047060735415)
77,110080193,100,POINT (126.95991249301501 37.56400034328688)
78,110080208,000052,POINT (127.06414950063221 37.47621628451852)
79,110080209,000053,POINT (127.0668991310306 37.47673958464522)
80,110080210,000054,POINT (127.06573404236097 37.4768864876307)
81,110080211,000055,POINT (127.06282217332802 37.47633940636302)
82,110080213,000057,POINT (127.0645066005893 37.47489193510871)
83,110080218,000023,POINT (127.03421595959374 37.50141955352089)
84,110081383,000044,POINT (126.90767779193244 37.52094252712006)
85,110081384,000001,POINT (126.90332810008458 37.49354616313731)
86,110081389,000049,POINT (126.90472650377929 37.51646426514098)
87,110081392,000003,POINT (126.90884929903295 37.50885888839421)
88,110081393,000052,POINT (126.9021954769696 37.50953455548729)
89,110081394,000053,POINT (126.91292385966082 37.51377378025741)
90,110081395,000054,POINT (126.91467264726987 37.513789194760314)
91,110081396,000055,POINT (126.90701548930521 37.510691100004024)
92,110081398,000057,POINT (126.90980864936337 37.509791227878814)
93,110081400,000059,POINT (126.90366802000416 37.49901810235147)
94,110081401,000060,POINT (126.90713416580859 37.49869882066332)
